image_path,temperature,humidity,rainfall,wind_speed,T,H,R,W,severity_score,severity_label
Black_rot\00090b0f-c140-4e77-8d20-d39f67b75fcc___FAM_B.Rot 0376.JPG,24.367182020405163,80.27163473940041,19.44770862233466,13.703670171040423,0.3746386134092265,0.6729906104174938,0.6485220064359409,0.9138721101454824,0.6404617601156365,Moderate
Black_rot\006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470.JPG,34.16214320896857,85.85066287361175,5.171590863154987,7.88040722729247,0.950982223786271,0.7970276848705355,0.1722797914114595,0.5255071487992429,0.6250252390204419,Moderate
Black_rot\00905d40-bddf-460e-b348-1dbb6a34653b___FAM_B.Rot 0664.JPG,30.443897010793886,61.271055445662455,26.171836900644447,10.873654077541266,0.7321975449221149,0.2505556966990572,0.8728346521698899,0.7251327210129611,0.6214513024853106,Moderate
Black_rot\0093ee81-2439-414c-bfb5-a5b6cd6aea72___FAM_B.Rot 3429.JPG,28.177194231349624,78.11933448231495,18.393487172077243,6.540724469588818,0.598822880295374,0.6251390812960784,0.6133538488831581,0.4361610472342435,0.5778181161303053,Moderate
Black_rot\012658ed-f0a3-4791-a996-7115dd1e6e3b___FAM_B.Rot 3036.JPG,20.652316887521422,75.72856924146869,4.716116506708628,9.450518663136572,0.1560528792207246,0.5719858225125014,0.1570854563646374,0.6302209961699097,0.3759245298840729,Moderate
Black_rot\01d4aa8b-cc91-4475-b80c-b5b0ca10f1f6___FAM_B.Rot 3050.JPG,20.651906845715445,87.4773669554722,28.87014172443621,5.10863906131678,0.1560287520220239,0.833193771590461,0.9628483861395144,0.3406524295398961,0.597807901925502,Moderate
Black_rot\02a1df6c-97ec-41d4-b00c-9510741a39dc___FAM_B.Rot 0552.JPG,18.98742140685939,90.77391772165672,15.55096390005962,4.51738529678168,0.0580890533563044,0.9064851232357528,0.5185290791411287,0.3012205427046944,0.4763441786360231,Moderate
Black_rot\02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot 0753.JPG,32.7249944781739,50.54705471648241,2.18695355614965,8.673446792542705,0.86641920488201,0.0121317911584169,0.0727141877851554,0.5783965311059638,0.3541021917355092,Moderate
Black_rot\02f75392-dbad-4ab8-a35d-d391f9d57113___FAM_B.Rot 3323.JPG,28.21895519963455,80.33089635764567,18.804987132452016,7.471945112759705,0.601280130178332,0.6743081584881729,0.6270812260256837,0.4982659998327114,0.6090359865639982,Moderate
Black_rot\035ed95e-9c14-4096-8dce-21ae0970c6b6___FAM_B.Rot 3175.JPG,30.037233822532773,52.33261096038781,7.595967210384307,8.693045537249716,0.7082691468797103,0.0518295964817622,0.2531554455027156,0.5797036102820372,0.3718457490965426,Moderate
Black_rot\03663632-d350-4f00-92f3-ca6ac2639b22___FAM_B.Rot 5102.JPG,18.349936403028643,74.69863992848101,24.11080355631908,4.2999087193053445,0.0205789089467456,0.5490876732644189,0.8040798897268803,0.2867165981943424,0.4282343212866006,Moderate
Black_rot\03a8e589-18ca-4596-8db7-ff1efe9b3b05___FAM_B.Rot 0755.JPG,34.488467486753905,62.94347280696552,24.53466220698572,5.504367477254929,0.9701834139484204,0.2877381148138624,0.8182195449227735,0.367044342878522,0.6068310427376615,Moderate
Black_rot\03aa3aee-2a42-459d-8fa1-39d88e8a5ced___FAM_B.Rot 3487.JPG,32.15152489360717,63.80494697849635,29.368420675639857,1.2584694094336395,0.8326757806409295,0.3068910449269578,0.9794706552622746,0.0838769752157131,0.561879317497031,Moderate
Black_rot\0434878b-1f52-496a-87c6-58647824ee2d___FAM_B.Rot 5035.JPG,21.60976488153069,65.88313265535605,15.056085930735112,0.7841455840830858,0.2123899103730138,0.3530948039557389,0.5020202646123065,0.0522433780593898,0.2949796605449297,Mild
Black_rot\04801745-9457-41fa-97c6-7c9aa769564d___FAM_B.Rot 0367.JPG,21.09102444252072,77.95816020723245,13.648706391832114,3.801856945095244,0.181866794281787,0.621555735760369,0.4550709776777463,0.2535005370430595,0.396401271126606,Moderate
Black_rot\04bd87b8-f596-4ccc-a9c9-6af129535edc___FAM_B.Rot 0578.JPG,21.117876667508376,65.03224845509462,22.60426816339442,1.1137028899581862,0.1834468013893307,0.334177317906233,0.7538228265222935,0.0742222087585885,0.3494150441014936,Moderate
Black_rot\04e6bfe5-ccc3-4888-87bb-780035a243e1___FAM_B.Rot 0577.JPG,23.172118130312143,82.97145727656262,3.9741196902577967,1.5566206295211105,0.3043200665780608,0.7330150592992751,0.1323329141561341,0.1037612717317964,0.3498200173196906,Moderate
Black_rot\04f22aa8-7ef0-4cce-8708-394e97a328b1___FAM_B.Rot 3391.JPG,26.92085933774804,68.20373235082414,16.407465413793727,12.193926080909057,0.5248990969866222,0.4046880905063849,0.5471014252756559,0.8131842808527854,0.5520434138880421,Moderate
Black_rot\0563d959-cdc8-4e5f-be50-aff6238218be___FAM_B.Rot 3600.JPG,25.34306531691597,53.07589401394814,16.38742800392553,0.5831054552503395,0.4320603929946728,0.0683548143577569,0.5464329900175586,0.0388356129254113,0.2728969126454672,Mild
Black_rot\058433ea-b746-42b9-9d69-019a17ddf1a3___FAM_B.Rot 3486.JPG,22.95089538336672,85.26919291178483,2.6841936843116168,9.88414190902114,0.2913031373409217,0.7841000151738977,0.0893018024314862,0.6591401909158031,0.4622092776784319,Moderate
Black_rot\05ca939c-220f-4ad0-a4be-a1de75a99034___FAM_B.Rot 0613.JPG,28.40149921028045,62.85912460667177,12.539522565207408,4.088366232231008,0.6120211706095288,0.2858628233207689,0.4180693101815941,0.2726084099484523,0.3978031491837019,Moderate
Black_rot\05f8c04d-9275-4ceb-99d9-42ba43ca5ec1___FAM_B.Rot 0502.JPG,20.37139563108471,69.47450958196681,25.59854395701606,13.073185210621896,0.1395232403534024,0.4329409485742455,0.8537099639362186,0.8718238170068022,0.5525553490460393,Moderate
Black_rot\06316202-5637-41f1-baf7-6d41b9af3cab___FAM_B.Rot 3591.JPG,22.966459025098708,80.84497474498556,25.684608659839807,7.274884268662493,0.2922189148814089,0.6857375289217371,0.8565810277225796,0.4851236210942006,0.5899459685463584,Moderate
